Sex,Job,Housing,Saving accounts,Credit amount,Duration,Age Bucket,Risk
0,2,0,0,7.063903961,6,3,0
1,2,0,1,8.691314552,48,0,1
0,1,0,1,7.647786045,12,2,0
0,2,1,1,8.972336958,42,2,0
0,2,1,1,8.490849216,24,2,1
0,1,1,0,9.11107237,36,1,0
0,2,0,3,7.949797216,24,2,0
0,3,2,1,8.846209127,36,1,0
0,1,0,4,8.025843344,12,3,0
0,3,0,1,8.562931083,30,1,1
1,2,2,1,7.166265974,12,0,1
1,2,2,1,8.368229038,48,0,1
1,2,0,1,7.356918242,12,0,0
0,1,0,1,7.089243155,24,2,1
1,2,2,1,7.24636808,15,1,0
1,1,0,2,7.156176637,24,1,1
0,2,0,0,7.793174347,24,2,0
0,2,0,0,8.996156562,30,0,0
1,3,1,1,9.439784036,24,2,1
0,2,0,3,8.14031554,24,1,0
0,2,0,1,7.665753432,9,2,0
0,2,2,3,7.881182202,6,2,0
0,1,2,1,7.714677474,10,2,0
0,2,0,2,7.497761701,12,2,0
0,2,0,0,7.634820678,10,1,0
0,1,0,1,7.225481473,6,2,0
0,1,0,1,6.054439346,6,2,0
1,2,2,4,6.013715156,12,2,0
0,2,0,1,7.789454566,7,1,0
0,2,0,1,8.829958044,60,3,1
0,2,0,4,7.556427969,18,2,0
0,2,0,1,8.299037182,24,1,0
0,2,0,2,8.67692825,18,1,0
0,1,2,0,7.142036575,12,2,0
1,3,0,1,7.295735073,12,1,0
0,1,0,1,8.465057437,45,0,1
0,2,1,1,8.717682052,48,1,0
0,2,0,1,7.649692624,18,2,1
0,2,0,1,7.110696123,10,2,0
0,2,0,1,6.126869184,9,0,0
0,3,0,3,7.754910272,30,1,0
0,2,0,3,7.054449658,12,1,0
0,1,0,1,8.732949524,18,2,0
0,2,2,2,8.730205596,30,0,0
1,1,1,1,8.723068501,48,2,1
1,3,0,1,7.239214974,11,1,0
0,2,0,3,7.740229525,36,2,0
1,0,2,3,7.209340257,6,0,0
0,1,0,1,8.885717652,11,2,0
1,2,0,2,7.636752112,12,1,0
0,1,0,0,7.754910272,24,1,0
0,3,0,1,8.693664335,27,1,0
0,2,0,1,7.140453043,12,0,0
0,2,0,0,8.125039097,18,1,0
0,2,1,1,7.707512195,36,2,1
0,1,0,0,6.663132696,6,1,0
0,3,0,0,8.774622221,12,2,1
1,2,0,1,9.165970424,36,1,0
1,3,0,1,7.581209826,18,0,0
1,1,2,1,8.736971085,36,0,1
0,2,0,1,7.237778192,9,1,0
0,2,0,0,7.337587744,15,2,0
0,3,1,1,7.577121931,36,3,1
0,2,0,1,9.576440757,48,0,1
1,2,0,1,8.064950892,24,1,0
0,2,0,0,8.554488976,27,2,0
1,2,0,1,7.68294317,12,1,0
0,2,0,4,6.914730893,12,0,0
0,2,1,1,7.506042179,36,2,1
1,2,0,0,7.780720886,36,0,0
1,2,0,1,9.003685138,36,1,0
0,1,2,0,6.593044534,7,2,0
0,3,1,1,7.059617628,8,2,0
1,1,0,1,8.691818542,42,2,0
0,3,0,0,7.589335823,36,2,1
0,3,1,1,7.330405212,12,3,0
0,2,0,1,8.285261134,42,1,1
0,2,0,1,8.470311206,11,2,0
0,1,0,0,9.152287441,54,2,0
0,2,0,1,8.251142139,30,0,0
1,2,0,0,8.689969335,24,2,1
0,2,0,3,7.100851909,15,2,0
1,1,2,2,7.357556201,18,0,0
1,1,0,1,7.470224136,24,2,0
0,1,0,1,7.747164967,10,2,0
1,3,0,1,7.252762418,12,1,0
1,2,0,1,7.166265974,18,1,0
0,2,1,2,9.442404021,36,2,1
0,3,0,2,7.718240952,18,1,0
0,2,0,1,7.010311867,12,1,1
0,2,0,1,6.426488457,12,2,0
0,2,0,1,7.250635512,12,2,0
1,1,0,0,6.680854679,12,1,1
0,2,2,0,8.193400232,24,0,0
0,2,0,4,7.183870715,12,2,0
0,2,2,1,9.676900579,54,2,1
1,2,0,0,7.606884531,12,3,0
0,2,0,2,7.871692664,18,1,0
0,2,0,1,7.756623335,36,2,0
0,3,2,0,8.861775311,20,2,0
0,1,2,2,7.292337176,24,2,0
0,2,2,1,7.750614733,36,0,0
1,2,0,1,6.837332815,6,0,0
0,2,2,1,7.559559496,9,1,0
0,2,2,0,7.801800402,12,1,0
0,3,0,1,9.387481869,24,2,1
0,3,0,1,8.773074951,18,2,1
0,2,0,1,8.712430973,12,1,0
1,2,0,0,8.951699168,24,1,0
0,2,0,3,7.251344983,14,1,0
0,2,0,2,7.278628942,6,1,0
1,2,2,1,5.97126184,15,0,0
0,1,2,1,8.741935464,18,1,0
1,2,0,1,8.968905551,36,0,1
0,2,0,3,7.426549072,12,1,0
0,2,0,0,8.182559264,48,2,0
1,3,0,0,8.878218658,42,1,1
1,2,2,0,7.664815785,10,1,0
1,2,0,3,8.361941906,33,0,1
0,3,0,3,7.768956045,12,2,0
1,2,0,1,7.51479976,21,0,1
1,3,2,1,8.260492857,24,2,0
0,1,2,1,7.477604243,12,0,0
0,2,1,1,6.66057515,10,3,0
1,2,2,0,7.562161631,18,1,1
0,2,0,1,7.659642955,12,1,0
0,1,0,1,6.552507887,12,2,0
0,2,0,1,6.459904454,12,1,1
0,3,0,1,7.528331767,12,1,0
1,2,0,1,8.160232492,12,1,1
1,2,0,0,9.04629086,48,0,0
0,2,0,1,8.837390856,36,1,1
0,1,0,1,7.903965634,15,1,0
0,2,1,1,7.592870288,18,2,0
1,2,0,2,9.224637677,60,0,0
1,2,0,0,7.122866659,12,2,0
0,2,0,4,9.061027969,27,1,0
0,1,0,3,6.64118217,12,3,1
0,2,0,0,7.911324019,15,1,0
1,1,2,1,7.539558829,12,2,0
0,0,0,4,6.563855527,6,1,0
1,3,0,1,8.475328987,36,1,0
0,3,0,1,8.136225555,27,1,0
0,2,0,1,7.808729307,18,0,1
1,2,0,1,7.735433352,21,0,0
0,2,0,2,8.179199798,48,1,0
1,2,0,1,6.756932389,6,2,0
1,2,0,2,6.525029658,12,2,0
0,2,0,1,8.58876939,36,1,0
0,2,0,4,7.366445148,18,2,0
0,2,1,2,7.20489251,6,2,0
0,2,0,1,7.562161631,10,2,0
0,2,0,1,8.673855001,36,0,0
1,2,2,4,8.956479848,24,1,0
0,3,2,2,8.848939995,24,2,0
1,2,2,1,7.156176637,12,0,1
0,2,0,2,7.160845907,9,2,0
0,1,0,1,5.826000107,12,2,0
0,2,0,2,8.163940955,24,2,0
0,1,0,0,7.548555979,6,1,0
0,2,0,2,7.96276393,24,2,0
1,2,0,1,6.961296046,18,1,0
0,2,0,3,7.140453043,15,2,0
0,3,1,1,8.896724917,10,3,0
0,2,0,3,6.812345094,36,2,0
0,2,0,3,7.999007213,6,1,0
1,2,0,1,7.030857476,18,1,1
1,2,0,4,7.363279587,11,0,0
1,2,2,1,8.287025025,24,0,0
0,2,0,1,7.567862605,24,1,1
0,2,2,1,6.856461985,15,1,1
1,2,0,1,6.637258031,12,1,0
1,3,0,1,7.632401127,24,1,1
0,2,0,1,7.254177846,8,1,0
0,2,0,1,8.135639903,21,1,1
1,3,0,0,8.920656297,30,2,1
0,2,0,1,7.854381211,12,2,0
0,2,0,3,5.823045895,6,2,0
0,3,2,1,7.582229194,12,1,0
0,2,0,1,6.34738921,21,3,0
0,2,0,1,9.166597449,36,1,1
0,3,0,1,8.40178234,36,1,1
0,1,0,0,7.40671073,21,2,1
0,2,0,4,8.236685323,24,2,0
0,2,0,1,6.784457063,18,2,1
0,2,0,1,7.215239979,15,1,0
1,3,1,1,8.542665987,9,3,1
0,0,1,1,7.069023427,16,3,0
0,2,0,2,6.513230111,12,0,1
1,2,0,1,8.084562415,18,1,0
0,3,0,4,8.431853144,24,2,1
0,1,1,2,8.25426877,48,1,1
0,2,0,1,8.272570608,27,2,1
0,2,2,1,7.65349491,6,1,0
0,2,2,2,8.016647877,45,0,1
1,3,0,1,7.313886832,9,1,1
1,2,0,1,7.231287004,6,1,0
1,2,2,2,6.857514063,12,1,1
0,2,1,0,7.922985959,24,2,0
0,3,0,1,8.365672384,18,2,1
0,2,0,3,6.841615476,9,2,0
0,1,0,1,7.063048163,12,1,0
0,2,0,1,8.540323609,27,1,0
